date,district,river,rainfall_mm,temperature_C,soil_moisture,river_level_m,current_dam_level_m,danger_level_m,release_status,flood_event,rainfall_mm_lag1,rainfall_mm_roll7,river_level_m_lag1,river_level_m_roll7
2017-01-01,Gorakhpur,Rapti,16.26,33.05,0.18,81.86,48.73,86.1,0,0,0.0,16.26,0.0,81.86
2017-01-01,Lakhimpur Kheri,Sharda,0.0,31.42,0.316,85.97,43.94,91.35,0,0,0.0,0.0,0.0,85.97
2017-01-01,Ballia,Ganga,8.96,31.19,0.215,76.73,53.28,85.56,0,0,0.0,8.96,0.0,76.73
2017-01-01,Bahraich,Ghaghra,0.0,31.45,0.06,83.74,45.61,92.69,0,0,0.0,0.0,0.0,83.74
2017-01-02,Faizabad,Ghaghra,71.73,24.67,0.553,80.2,80.95,84.23,0,0,0.0,71.73,0.0,80.2
2017-01-03,Sitapur,Sarju,55.42,41.91,0.197,94.66,59.21,97.89,0,0,0.0,55.42,0.0,94.66
2017-01-03,Mau,Ganga,0.0,35.78,0.116,89.95,66.22,96.07,0,0,0.0,0.0,0.0,89.95
2017-01-03,Ballia,Ganga,16.03,36.87,0.278,91.86,75.89,99.55,0,0,8.96,12.495000000000001,76.73,84.295
2017-01-03,Basti,Sarju,0.68,34.29,0.444,94.67,89.32,99.61,0,0,0.0,0.68,0.0,94.67
2017-01-04,Gorakhpur,Rapti,93.07,35.09,0.54,88.53,56.32,96.11,0,0,16.26,54.665,81.86,85.195
2017-01-04,Bahraich,Ghaghra,56.61,32.74,0.409,94.57,61.93,99.65,0,0,0.0,28.305,83.74,89.155
2017-01-04,Lakhimpur Kheri,Sharda,70.61,25.24,0.439,89.33,71.11,97.82,0,0,0.0,35.305,85.97,87.65
2017-01-05,Mau,Ganga,49.4,28.46,0.322,89.61,97.15,92.48,0,0,0.0,24.7,89.95,89.78
2017-01-05,Gorakhpur,Rapti,23.4,27.32,0.21,90.82,75.22,96.62,0,0,93.07,44.24333333333333,88.53,87.07
2017-01-05,Sitapur,Sarju,4.33,28.39,0.372,86.43,55.17,93.02,0,0,55.42,29.875,94.66,90.545
2017-01-06,Ballia,Ganga,0.0,24.15,0.194,81.04,41.81,90.59,0,0,16.03,8.33,91.86,83.21
2017-01-06,Basti,Sarju,0.0,28.65,0.272,83.95,66.73,85.14,0,0,0.68,0.34,94.67,89.31
2017-01-07,Sitapur,Sarju,56.15,30.46,0.384,85.97,32.6,95.26,0,0,4.33,38.63333333333333,86.43,89.02
2017-01-07,Mau,Ganga,0.0,39.0,0.142,79.1,61.41,84.1,0,0,49.4,16.466666666666665,89.61,86.21999999999998
2017-01-07,Barabanki,Gomti,0.0,39.59,0.207,72.14,53.83,80.23,0,0,0.0,0.0,0.0,72.14
2017-01-07,Gonda,Ghaghra,57.03,30.57,0.256,89.97,68.07,94.85,0,0,0.0,57.03,0.0,89.97
2017-01-07,Barabanki,Gomti,13.45,34.2,0.15,83.19,66.38,87.08,0,0,0.0,6.725,72.14,77.66499999999999
2017-01-07,Lakhimpur Kheri,Sharda,27.79,29.51,0.259,92.34,48.94,94.75,0,0,70.61,32.800000000000004,89.33,89.21333333333332
2017-01-08,Barabanki,Gomti,56.5,35.11,0.33,95.51,34.48,99.51,0,0,13.45,23.316666666666666,83.19,83.61333333333333
2017-01-08,Sitapur,Sarju,0.0,32.8,0.289,100.48,73.15,96.84,0,1,56.15,28.975,85.97,91.885
2017-01-09,Basti,Sarju,8.77,40.49,0.314,87.73,61.09,91.03,0,0,0.0,3.15,83.95,88.78333333333335
2017-01-09,Mau,Ganga,21.05,35.22,0.111,91.87,37.21,99.34,0,0,0.0,17.6125,79.1,87.6325
2017-01-09,Barabanki,Gomti,58.93,29.22,0.378,94.25,52.4,96.38,0,0,56.5,32.22,95.51,86.27250000000001
2017-01-09,Faizabad,Ghaghra,8.94,35.32,0.152,86.37,40.74,88.37,0,0,71.73,40.335,80.2,83.285
2017-01-09,Basti,Sarju,20.78,34.92,0.193,74.63,52.16,81.14,0,0,8.77,7.5575,87.73,85.245
2017-01-09,Gorakhpur,Rapti,0.0,23.33,0.244,90.96,61.08,92.84,0,0,23.4,33.1825,90.82,88.04249999999999
2017-01-10,Basti,Sarju,0.0,33.49,0.211,103.22,73.19,95.75,0,1,20.78,6.046,74.63,88.84
2017-01-11,Basti,Sarju,78.87,37.96,0.545,91.5,62.73,95.66,0,0,0.0,18.183333333333334,103.22,89.28333333333335
2017-01-11,Gonda,Ghaghra,32.46,38.82,0.345,91.62,63.15,98.6,0,0,57.03,44.745000000000005,89.97,90.795
2017-01-11,Bahraich,Ghaghra,41.04,37.64,0.141,89.62,63.06,94.88,0,0,56.61,32.550000000000004,94.57,89.31
2017-01-11,Gorakhpur,Rapti,52.81,37.09,0.422,82.76,78.28,89.54,0,0,0.0,37.108,90.96,86.986
2017-01-12,Mau,Ganga,46.58,37.08,0.183,72.31,38.33,80.67,0,0,21.05,23.406,91.87,84.56800000000001
2017-01-12,Lakhimpur Kheri,Sharda,49.54,39.94,0.299,87.84,58.28,96.8,0,0,27.79,36.985,92.34,88.87
2017-01-12,Ballia,Ganga,9.55,37.29,0.225,77.81,65.18,84.16,0,0,0.0,8.635000000000002,81.04,81.86
2017-01-12,Basti,Sarju,0.0,29.15,0.367,78.34,42.68,83.86,0,0,78.87,15.585714285714287,91.5,87.72
2017-01-13,Ballia,Ganga,58.47,27.66,0.444,95.3,76.03,97.09,0,0,9.55,18.602,77.81,84.548
2017-01-13,Mau,Ganga,0.0,35.9,0.293,81.91,53.43,87.73,0,0,46.58,19.505,72.31,84.125
2017-01-13,Basti,Sarju,58.48,33.03,0.328,76.05,75.28,83.82,0,0,0.0,23.842857142857145,78.34,85.06000000000002
2017-01-14,Basti,Sarju,0.0,36.84,0.108,78.06,72.75,87.91,0,0,58.48,23.842857142857145,76.05,84.21857142857142
2017-01-14,Ballia,Ganga,41.51,28.24,0.092,88.18,63.17,93.88,0,0,58.47,22.42,95.3,85.15333333333334
2017-01-14,Lakhimpur Kheri,Sharda,45.56,25.5,0.363,87.42,52.3,90.46,0,0,49.54,38.7,87.84,88.58
2017-01-14,Bahraich,Ghaghra,0.0,32.33,0.316,93.64,61.81,98.23,0,0,41.04,24.4125,89.62,90.3925
2017-01-14,Sitapur,Sarju,110.21,34.23,0.432,72.86,62.83,80.21,0,0,0.0,45.221999999999994,100.48,88.08
2017-01-14,Gonda,Ghaghra,47.78,27.51,0.293,92.96,67.74,97.51,0,0,32.46,45.75666666666667,91.62,91.51666666666667
2017-01-16,Faizabad,Ghaghra,0.0,39.91,0.269,87.41,42.32,96.15,0,0,8.94,26.89,86.37,84.66000000000001
2017-01-16,Barabanki,Gomti,51.37,28.97,0.372,91.35,65.85,99.08,0,0,58.93,36.05,94.25,87.288
2017-01-16,Basti,Sarju,0.0,35.07,0.414,80.94,64.23,88.37,0,0,0.0,22.590000000000003,78.06,83.24857142857142
2017-01-16,Gonda,Ghaghra,99.33,29.0,0.35,92.91,68.25,99.44,0,0,47.78,59.15,92.96,91.865
2017-01-16,Sitapur,Sarju,69.58,35.8,0.389,78.36,45.18,81.71,0,0,110.21,49.281666666666666,72.86,86.46
2017-01-17,Gonda,Ghaghra,0.0,32.71,0.049,84.9,69.46,90.55,0,0,99.33,47.32,92.91,90.47200000000001
2017-01-17,Sitapur,Sarju,0.0,32.39,0.227,90.87,53.46,97.73,0,0,69.58,42.24142857142857,78.36,87.09
2017-01-18,Bahraich,Ghaghra,4.65,32.04,0.0,76.05,85.51,85.79,0,0,0.0,20.46,93.64,87.524
2017-01-18,Sitapur,Sarju,0.0,37.49,0.147,84.12,30.0,85.98,0,0,0.0,34.324285714285715,90.87,85.58428571428571
2017-01-18,Sitapur,Sarju,59.03,33.04,0.2,96.19,74.67,99.66,0,0,0.0,42.138571428571424,84.12,86.97857142857143
2017-01-18,Barabanki,Gomti,14.11,22.86,0.442,88.0,68.77,92.35,0,0,51.37,32.39333333333334,91.35,87.40666666666668
2017-01-19,Ballia,Ganga,31.4,35.33,0.314,82.36,49.33,85.06,0,0,41.51,23.702857142857145,88.18,84.75428571428571
